#Platz; Name;Geboren;Land;Verband;Position;100. Spiel;Gegner;Spiele(FIFA);Spiele(RSSSF);Von;Bis
1;Ahmed Hassan;1975;Ägypten;CAF;Mittelfeld;25.01.2004;Simbabwe;184;184;1995;2012
2;Mohammad ad-Daʿayyaʿ;1972;Saudi Arabien;AFC;Torwart;24.06.1998;Südafrika (WM Gruppenspiel);178;176;1990;2006
3;Claudio Suárez;1968;Mexiko;CONCACAF;Abwehr;04.02.1998;Trinidad und Tobago;177;177;1992;2006
4;Hossam Hassan;1966;Ägypten;CAF;Sturm;25.03.1996;Südkorea;169;176;1985;2006
5;Vitālijs Astafjevs;1971;Lettland;UEFA;Mittelfeld;31.03.2004;Slowenien;165;167;1992;2010
5;Iván Hurtado;1974;Ecuador;CONMEBOL;Abwehr;30.04.2003;Spanien;166;167;1992;2010
7;Adnan at-Talyani;1964;Vereinigte Arab. Emirate;AFC;Sturm;13.04.1993;Thailand;161;164;1984;1997
7;Cobi Jones;1970;USA;CONCACAF;Mittelfeld;10.02.1998;Brasilien;164;164;1992;2004
9;Sami al-Dschabir;1972;Saudi Arabien;AFC;Sturm;30.09.1999;Südafrika;161;158;1992;2006
10;Martin Reim;1971;Estland;UEFA;Mittelfeld;02.06.2001;Niederlande;156;157;1992;2009
11;Lothar Matthäus;1961;Deutschland;UEFA;Mittelfeld/Abwehr;13.06.1993;USA;150;150;1980;2000
12;Landon Donovan;1982;USA;CONCACAF;Sturm;08.06.2008;Argentinien;142;149;2000;2013
12;Ali Daei;1969;Iran;AFC;Sturm;05.10.2001;Thailand;148;149;1993;2006
14;Iker Casillas;1981;Spanien;UEFA;Torwart;14.11.2009;Argentinien;143;148;2000;2013
15;Pável Pardo;1976;Mexiko;CONCACAF;Mittelfeld;27.06.2004;Dominikanische Republik;145;146;1996;2009
16;Javier Zanetti;1973;Argentinien;CONMEBOL;Mittelfeld;26.06.2005;Mexiko (Confed-Cup Halbfinale);141;145;1994;2011
17;Salman Isa;1977;Bahrain;AFC;Mittelfeld;unbekannt;unbekannt;144;138;2001;2012
17;Gerardo Torrado;1979;Mexiko;CONCACAF;Mittelfeld;12.08.2009;USA;134;144;1999;2013
19;Mohammad Al-Khilaiwi;1971;Saudi Arabien;AFC;Abwehr;27.09.1998;Libanon;138;143;1990;2001
19;Marko Kristal;1973;Estland;UEFA;Mittelfeld;28.03.2001;Zypern;142;143;1992;2005
19;Thomas Ravelli;1959;Schweden;UEFA;Torwart;11.08.1993;Schweiz;143;143;1981;1997
22;Cafu;1970;Brasilien;CONMEBOL;Abwehr;07.10.2001;Chile;142;142;1990;2006
